Fund Name,Date Launch,Min. Initial Inv,Market Sales Charges
Astute Dana Al-Kanz - Class A,18 May 2006,MYR 100.00,0%
Astute Dana Al-Kanz - Class B,18 May 2006,MYR 100.00,0%
United USD Cash Fund - Class R,01 Jul 2024,USD 500.00,0%
Astute Malaysia Growth Trust,06 Aug 1997,"MYR 1,000.00",1.50%
AHAM World Series - Global Brands - MYR,15 Dec 2023,"MYR 30,000.00",1.50%
AHAM World Series - Global Brands - MYR Hedged,02 Mar 2020,"MYR 30,000.00",1.50%
AHAM World Series - Global Brands - USD,02 Mar 2020,"USD 10,000.00",1.50%
MAMG Systematic Asia Pacific Equity Absolute Return Fund - MYR,08 Jan 2024,"MYR 1,000.00",1.50%
MAMG Systematic Asia Pacific Equity Absolute Return Fund - MYR Hedged,08 Jan 2024,"MYR 1,000.00",1.50%
MAMG Systematic Asia Pacific Equity Absolute Return Fund - USD,08 Jan 2024,"USD 1,000.00",1.50%
AHAM AIIMAN Global Multi Thematic Fund - MYR,13 Jun 2024,MYR 100.00,1.50%
AHAM World Series - Biotechnology Fund - MYR,30 May 2024,"MYR 30,000.00",1.50%
AHAM World Series - Biotechnology Fund - MYR Hedged,30 May 2024,"MYR 30,000.00",1.50%
AHAM World Series - Biotechnology Fund - USD,30 May 2024,"USD 10,000.00",1.50%
AHAM World Series - Global Balanced Fund - MYR,13 Jun 2024,"MYR 1,000.00",1.50%
Manulife Asia Technology Fund - A (RM) Class,19 Jun 2024,"MYR 2,000.00",1.50%
Manulife Asia Technology Fund - A (RM-Hedged) Class,19 Jun 2024,"MYR 2,000.00",1.50%
Manulife Asia Technology Fund - A (USD) Class,19 Jun 2024,"USD 2,000.00",1.50%
MAMG Global Environment Fund - AUD Hedged,22 Aug 2022,"AUD 1,000.00",1.50%
MAMG Global Environment Fund - MYR,22 Aug 2022,"MYR 1,000.00",1.50%
MAMG Global Environment Fund - MYR Hedged,22 Aug 2022,"MYR 1,000.00",1.50%
MAMG Global Environment Fund - SGD Hedged,22 Aug 2022,"SGD 1,000.00",1.50%
MAMG Global Environment Fund - USD,22 Aug 2022,"USD 1,000.00",1.50%
MAMG Liquid Alternative Fund - MYR,15 Nov 2021,"MYR 5,000.00",1.50%
MAMG Liquid Alternative Fund - MYR Hedged,15 Nov 2021,"MYR 5,000.00",1.50%
MAMG Liquid Alternative Fund - USD,15 Nov 2021,"USD 5,000.00",1.50%
Eastspring Investments Dragon Peacock MY Fund,15 Jul 2024,"MYR 1,000.00",1.50%
RHB Global Equity Premium Income Fund - MYR - Class B,22 Apr 2024,"MYR 1,000.00",1.50%
RHB Global Equity Premium Income Fund - MYR Hedged - Class B,22 Apr 2024,"MYR 1,000.00",1.50%
RHB Global Equity Premium Income Fund - USD - Class B,22 Apr 2024,"USD 1,000.00",1.50%
Hong Leong Dana Al-Izdihar,20 Jun 2017,"MYR 1,000.00",0%
Hong Leong Dana Al-Safa (MYR Class A),16 Aug 2019,"MYR 1,000.00",0%
Hong Leong Dana Maa'rof,25 Mar 2003,"MYR 1,000.00",1.50%
Hong Leong Dana Makmur,12 Nov 2001,"MYR 1,000.00",1.50%
Hong Leong Islamic Income Management Fund,26 Apr 2007,"MYR 1,000.00",0%
RHB Global Shariah Equity Index Fund - MYR,16 Feb 2024,"MYR 1,000.00",1.50%
RHB Islamic Global Developed Markets Fund - SGD,01 Nov 2019,SGD 100.00,1.50%
RHB US Value Fund - MYR,16 Feb 2024,"MYR 1,000.00",1.50%
Halogen Shariah Ringgit Income Fund - Class B,04 Jul 2023,"MYR 10,000.00",0%
Principal Vietnam Equity Fund - MYR Hedged,06 May 2024,MYR 100.00,1.50%
Principal Vietnam Equity Fund - USD,06 May 2024,USD 100.00,1.50%
United Japan Discovery Fund - MYR,01 Apr 2024,"MYR 1,000.00",1.50%
AHAM Select Asia Pacific (Ex Japan) Dividend Fund - SGD,24 Dec 2018,"SGD 5,000.00",1.50%
AHAM Select Asia Pacific (Ex Japan) Dividend Fund - USD,24 Dec 2018,"USD 5,000.00",1.50%
United Bharat Fixed Income Fund - MYR Acc Class,01 Apr 2024,"MYR 1,000.00",0%
United Bharat Fixed Income Fund - MYR Dist Class,01 Apr 2024,"MYR 1,000.00",0%
United Bharat Fixed Income Fund - MYR Hedged Acc Class,01 Apr 2024,"MYR 1,000.00",0%
United Bharat Fixed Income Fund - MYR Hedged Dist Class,01 Apr 2024,"MYR 1,000.00",0%
United Bharat Fixed Income Fund - USD Acc Class,01 Apr 2024,"USD 1,000.00",0%
United Bharat Fixed Income Fund - USD Dist Class,01 Apr 2024,"USD 1,000.00",0%